video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"TiW3LUTZR5E","Manu Gavassi, Gloria Groove - Deve ser horrível dormir sem mim","2020-08-21T14:00:11Z","UChH5-1INJHs2nt_irgpK0qw","ManuGavassiVEVO","10","20.22.08","Manu|Gavassi|Gloria|Groove|Deve|ser|horrível|dormir|sem|mim|Universal|Music|International|Ltda.|Pop|manu gavassi|malu gabatti|gloria groove|tiktok|audio de desculpas|eu te quero|musica secreta|cut but psicho|planos impossiveis|te asusta|vicio|provocar|mil grau|yoyo|apaga a luz","3193972","540284","16441","29792","https://i.ytimg.com/vi/TiW3LUTZR5E/default.jpg","False","False","Clique e ouça o single: https://umusicbrazil.lnk.to/DeveSerHorrivelDormirSemMimSIGA MANU GAVASSI: https://www.facebook.com/oficialmanugavassihttps://www.instagram.com/manugavassi https://twitter.com/manugavassiMalu Gabatti é uma personagem ficcional e qualquer semelhança com a realidade é mera coincidência.Escrito por Manu GavassiDirigido por Manu GavassiDireção de Fotografia por YURI + ANAElencoManu Gavassi como Malu GabattiGloria Groove como Gloria GrooveAllison Gonçalves como Wellinton (ou Veltinho)Raony Phillips como Produtor Com Medo De Ser DemitidoChay Suede como Boy Gato Com Cara De Quem Vai Acabar Com A Sua VidaLaura Neiva como Produtora Extremamente Linda Com Um Laço No CabeloBruno Anacleto como O CoelhoRita Carreira, Lucas Silvestre e Alencar Reinhold como Bailarinos De LuvinhasFiguraçãoRenata Kliot como Bailarina Profissional De Tik TokMarcela Palhão como Produtora De AnimaisMaurício Destri como O Segurança Do TermômetroChico Avelino como Brother Da CâmeraTiago Bonifácio Produtor Do Álcool GelGabe Lopes como Produtora De ÁudioFICHA TÉCNICADireção | Manu GavassiRoteiro | Manu GavassiDireção Criativa | Fernando AraújoDireção de Fotografia | Yuri+AnaAssistente de Direção | Zoe YasmineProdução Executiva | Felipe SimasDireção de Produção | Isadora SilveiraController | Isadora SilveiraCoordenação de Produção | Braulio DrumondStaff de Produção | Kadu Barbosa, Cristiano Menezes e Allison GonçalvesAssistentes de Produção | Gabriele Oliveira e Heloísa LimaMake Manu Gavassi | Henrique MartinsStylist Manu Gavassi | Carol RoqueteAssistente Stylist Manu Gavassi | Catarina GavassiStylist Gloria Groove | Bianca JaharaPeruqueira Gloria Groove | Kelly KarameloProdução Gloria Groove | Kika SimõesManagement Gloria Groove | SB MusicDireção de Arte | Ana RiettiPrimeira Assistente de Arte | Marina LimaSegunda Assistente de Arte | Clara Faitin CostaRelações Públicas | Mariana Madjaroff e Andressa MarguettProdução de Elenco | Sabrina VasconcelosAssessoria de Imprensa | Access MidiaMake Elenco | Rafael RamosAssistente Make Elenco | Ana Carolina LimaCoreografa | Maitê MolnarCamareira | Nadia Maria MartinsCatering | GSH Gourmet Sports HospitalityOperador de Câmera | Leonardo SilvaOperador de Câmera | Nestor GrunPrimeiro Assistente de Câmera | Caio FreitasSegundo Assistente de Câmera | Paul CarboneVideo Assist | Felipe PuertaLogger | Murilo SalazarMontador | Pedro SousaColorista | Jesus MendesSom direto | Marcus CaparelliAssistente de captação de som direto | Pier Valencise Mixagem de som | Sergio FouadAssistente de mixagem de som | Rabi RodriguesChefe de Elétrica | Ricardo Lima da SilvaPrimeiro Assistente de Elétrica | Emerson Frari da CostaSegundo Assistente de Elétrica | Milton dos SantosChefe de Maquinaria | Claudio Soares dos SantosPrimeiro Assistente de Maquinaria | Lucas Mateus dos SantosContra-Regras | Antônio Rogério Andrade, Adalfan e Anderson Ferreira BatistaEquipe Universal Direção artística: Henrique BadkeGerência artística: Camilla LinsCoordenação A&R: Junia Coutinho, Igor Alarcon e Fernanda MesaLabel Manager: Barbara Cotta Management Manu Gavassi: F/SIMASProdução realizada seguindo o 'Protocolo de Segurança e Saúde no Trabalho do Audiovisual Para Retomada Gradual das Atividades no Âmbito da Pandemia de Covid-19'#ManuGavassi #DeveSerHorrivelDormirSemMim #GloriaGrooveMusic video by Manu Gavassi, Gloria Groove performing Deve ser horrível dormir sem mim. © 2020 Universal Music Ltdahttp://vevo.ly/ysRONC"
"gdZLi9oWNZg","BTS (방탄소년단) 'Dynamite' Official MV","2020-08-21T03:58:10Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.22.08","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","124756617","9846218","358410","4823577","https://i.ytimg.com/vi/gdZLi9oWNZg/default.jpg","False","False","BTS (방탄소년단) 'Dynamite' Official MVCredits:Director: Yong Seok Choi (Lumpens)Assistant Director: Jihye Yoon (Lumpens)Director of Photography: Hyunwoo Nam (GDW)B Camera Operator: EumkoFocus Puller: Sangwoo Yun, Youngwoo Lee2nd AC: Eunki Kim3rd AC: Kyuwon SeoDIT: Eunil LeeGaffer: Song HyunsukLighting Crew: Choi Jung Hyun, Hwang Uigyu, Kim Hyun Ju, Park Cheonil, Park Yeonghwan, Yeom JaehyeokJimmy Jib Operator: Youngjung KimJimmy Jib Assistant: Hyun in Kim, Sung Hoon KimArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang (MU:E)Art-team Manager: ilho Heo (MU:E)Producer: Emma Sungeun Kim (GE Production)Location Manager: Ji Hoon HanVFX STUDIO: PLASTIC BEACHVFX Supervisor: OhzeonVFX Assistant Supervisor: JojeemVFX Project Manager: Chanyoung Song, Jieun JeongVFX Producer: Kyutae Jang3D Artist: Kwangwon Lee, Doyeon Kim, Jeonghwa Lee, Jiwon Jeon2D Artist: Gihoon Jang, Hyunjun LeeVisual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Jung Su JungBrand Experience Design: Kris Seongmin Gim, Hyeri Lee Performance Directing: Son Sung Deuk, Lee Ga Hun, Lee Byung Eun, Hyewon ParkArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung MinBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #BTS_Dynamite #Dynamite #MV"
"BqGvwzaVL9I","Luan e Whindersson Nunes - Paraíso (CLIPE OFICIAL)","2020-08-21T15:00:03Z","UCcGJGIBiDD2egQD43W95mJQ","LUAN","22","20.22.08","luan|whindersson nunes|luan otten|paraíso|um44k|pop nacional|música pop|pop brasil|top brasil","1011593","155620","1040","7179","https://i.ytimg.com/vi/BqGvwzaVL9I/default.jpg","False","False","Se inscreva no canal e ative o sininho!Ouça PARAÍSO: https://lnk.to/ParaisoLETRAVocê entrou na minha mente e nunca mais saiuVocê é a luz que me guia nesse mundão sombrio Quando você não tá presente o quarto fica frioSenti uma coisa diferente quando tu surgiu Tem tanta coisa pra fazer e pra resolverMas hoje eu só quero ir pra sua casaVamo da um rolê por aí, só eu e você?Fugir um pouco dessa rotina louca Eu to cansado de viver a vida por viver Quero cantar, quero me entorpecer de você Eu vou subir pra te encontrar, me conectar Eu creio que vai ser a melhor coisaEu quero ver você dançar Quero poder curtir contigo E ir até de manhã pro paraíso Sem regra e sem hora pra voltar Não tenho mais tempo pra perder Meu tempo eu quero é cantar Eu não preciso falar Se você já vai saber Então me fala o lugar Que eu preciso te ver--Siga nas redes:http://instagram.com/luanhttp://twitter.com/luanottenhttp://facebook.com/luanottenhttp://tiktok.com/@luanum44k--FICHA TÉCNICA:Direção e Fotografia: Júnior MarquesRealização: Warner Music Brasil, Central Sonora e Non Stop ProduçõesDiretora de Produção: Célia Regina1o assist. câmera: João GundinAssist. Maquinaria: Vitor TulioAssist. Maquinaria: Popo MaranhãoFigurinista: Marianne PerpetoMaquiador: Ítalo FerreiraStill e Making Of: Elizeu DiasMontagem: Júnior MarquesSupervisor Pós (VFX): Ronaldo PucciColorização: Elizeu DiasMotorista van 1: “Totó” R Diniz TransportesMotorista van 2: Douglas da SilvaMotorista 4x4 1: Valdemilson Motorista 4x4 2: AguiarMotorista 4x4 3: JeremiasAgradecimento especial: ICMBIO"
"5rvhDaVc6zg","ESTOU GRÁVIDA? FIZ O TESTE + Reação da minha irmã e do Alex no final.","2020-08-21T14:18:32Z","UCikxOCCeSsn80hCOJlsD4lw","Bia Chagas","23","20.22.08","ESTOU GRÁVIDA|GRAVIDA|GRAVIDEZ|ESTOU GRAVIDA + REAÇÃO DO MEU NAMORADO|CONTANDO PARA MEU NAMORADO QUE ESTOU GRAVIDA|FAZENDO O TESTE DE GRAVIDEZ|ESTOU GRAVIDA FIZ O TESTE","307507","45696","2968","0","https://i.ytimg.com/vi/5rvhDaVc6zg/default.jpg","True","False","Mais um vídeo com muito amor para vocês ❤️Me acompanhem também nas redes sociais:Instagram: @biachagas19                    @davilionel.oficial                    Facebook: Bia ChagasE-mail para contato: biachagas.001@gmail.com"
"9UPGGgKoir8","Bruno Martini, IZA, Timbaland - Bend The Knee","2020-08-21T14:00:10Z","UCftm0MlbYmqhK00o8NZEkDw","BrunoMartiniVEVO","10","20.22.08","Bruno|Martini|IZA|Timbaland|Bend|The|Knee|Universal|Music|International|Ltda.|Electronic|bruno martini|edm|timbaland|save me|eletronico|bend the knee|hear me know|Bruno Martini|Martine|Bruno Martine|Martyne|Martyni|eletrônica|electronica|eletro|musica eletroncia|musica eletrônica|Mayra|zeeba|ziba|zeba|tomorrowland|tomorrowland 2019 2020|ultra|hits 2020|hit|hear me now|here me now","277130","44056","303","4341","https://i.ytimg.com/vi/9UPGGgKoir8/default.jpg","False","False","Clique e ouça/ Click and listen: https://umusicbrazil.lnk.to/BendTheKneeYDFOLLOW BRUNO MARTINI http://www.brunomartini.com/ https://www.facebook.com/brunomartiniofficial https://www.instagram.com/brunomartinmusicBend the Knee(Mayra de Grammont Arduini)This is a RiotYou kept me in silenceNow I'm saying it allCause Nobody wondersThat under the coversYou smother us allSay what you wantGimme the rulesMake me take ofThe clothes that I chooseCause you're so insecureDon't even know what forYou look fragileLess masculineWhen you complainAnd ask where I've beenYou want somethingBetter bend the kneeYouYou bend the kneeYouYou bend the kneeYouYou bend the kneeBetter bend the kneeYouYou bend the kneeYouYou bend the kneeYouYou bend the kneeBetter bend the kneeThis is a protestIt's time to confessCause you played it wrongCause no body wondersThat under the coversYou smother us allSay what you wantGimme the rulesMake me take ofThe clothes that I chooseCause you're so insecureDon't even know what forYou look fragileLess masculineWhen you complainAnd ask where I've beenYou want somethingBetter bend the kneeYouYou bend the kneeYouYou bend the kneeYouYou bend the kneeBetter bend the kneeYouYou bend the kneeYouYou bend the kneeYouYou bend the kneeBetter bend the kneeLeave it aloneCalling night and dayMake me play your gameIm Fine on my ownGoing soloIn my own companyBetter know your placeBetter bend the kneeYouYou bend the kneeYouYou bend the kneeYouYou bend the kneeBetter bend the kneeYouYou bend the kneeYouYou bend the kneeYouYou bend the kneeBetter bend the kneePlease bend the KneeJust bend the Knee#BrunoMartini #IZA #TimbalandFicha TécnicaEquipe Universal Direção artística: Henrique BadkeCoordenação A&R: Fernanda Mesa, Igor Alarcon e Junia CoutinhoLabel Manager: Rodrigo LeiteParticipações especiais: IzaTimbalandExecutive Produced by: Timbaland & Angel Lopez Performed, written and co-produced by Bruno MartiniLyrics by: Mayra de Grammont ArduiniVocals by: Isabela Cristina Correia De Lima LimaTimbaland appears courtesy of Mosley Music.Recorded at Bruno Martini Studio São Paulo (SP) and Westlake Studios, Los Angeles.Mixed by Chris GodbeyMastered by Luca Petrolesi at Studio DMI Las VegasDireção e Roteiro: Felipe SassiDireção de Fotografia: Daniel PrimoAssistência de Câmera (1º) + Logger: Pedro LúcioDireção de Produção: Diana BalsiniCoordenação Geral: Wanisy RonconeDireção de arte: Poliana FeuloAssistente de arte: Mariana NobreAssistente de arte local: Douglas TorresCenotécnica: Clivia CohenAssist. Cenografia: Mauro SergioIluminação de arte (céu estrelado): Jorge RaibottAssist. Cenografia: Mauro SergioPintura de arte: Isabela SantosContrarregra: Fabio CanutoAjudantes: Alessandro Yuri Zagri de Barros e Marcelo BarrosStyling Bruno e IZA: Bianca JaharaAssistentes de Moda: Alan Macedo Gomes e Luana MariaMakeup & Hair: Mary SaavedraAssistentes: Maia BoitragoEdição: Felipe SassiPós-produção: Cora PostTime Cora:Coordenador de Pós-produção: Lucas BergaminiComposição Digital: Acacio Batista / Danilo Leimig / ThifColor Grading: Cora PostEletricista/Gaffer: Hilton Maia BBEquipe Elétrica: Diógenes Batista, Rafael FélixMaquinista/Gripp: Edgar WillmannEquipe Maquinário: Edgar Mugica, Claudio PopóCatering: Claudinha (Bella Gulla)Caminhão de equipamentos: SeveroGerador: GR3 EnergiaGeradorista: Rodrigo RezendeEquipamentos de Luz: QuantaEquipamentos de Maquinária: EdgarzinhoEquipamentos de câmera: AraguaiaFiltros Especiais: Bureau Cinema e Video Van Iza: Paulo NalimCaminhão de arte: Alessandro Amacedes de BarrosAgradecimentos: À Universal Music, em especial à Fernanda Mesa pela confiança. À Giulia Borges, Ramon Quinhones, Alessandro Salla, Lucas Regal e Guilherme Amorim do Estudio Traça, pelos figurinos exclusivos. Ao Pedro e à equipe incrível dos Estúdios Bronx. Lucimar e Rose pelo atendimento na Quanta. A todos os parceiros e fornecedores que fizeram desse projeto possível!Music video by Bruno Martini, IZA, Timbaland performing Bend The Knee. © 2020 AfterCluv / Universal Music Internationalhttp://vevo.ly/pmqMC7"
"gVVjp9ap1d4","VOZ ATIVA 2020 - DEXTER (PART. DJONGA, CORUJA BC1, DJ KL JAY E DJ WILL)","2020-08-21T10:45:13Z","UCHg54zOmSnn-ToYlvK17l1A","Dexter Oitavo Anjo","10","20.22.08","dexter|dexter flor de lotus|dexter ao vivo” oitavo anjo|dexter oitavo anjo|flor de lotus|dexter abençoado por deus|dexter e ao cubo|dexter sindrome do panico|flor de lotus dexter|djonga|coruja bc1|mano brown|voz ativa|racionais|imusics|lançamento","216241","42581","337","2493","https://i.ytimg.com/vi/gVVjp9ap1d4/default.jpg","False","False","Música lançada originalmente no EP Escolha o Seu Caminho, em 1992, em versões de estúdio, remix e a capella, pelos Racionais MC's.Ficha técnica:Autores: Racionais MC’s (Mano Brown, Edi Rock, Ice Blue e DJ KL Jay)Regravação: Dexter, Djonga e Coruja BC1 Batida: KL Jay e DJ WillDireção: João Wainer, Mailson Soares e Ricardo SouzaDireção de Fotografia: Mailson SoaresSteady Cam: Gustavo MoroziniPrimeiro assistente de câmera: Murilo Magalhães Segundo assistente de camera: Rafaela ArcushinElétrica: VagnãoProdutora: Sindicato ParaleloProdução Executiva: Roberto T. OliveiraDireção de Produção: Felip Silva  Montagem: Gabriel Barbosa e Ricardo SouzaDesign: Bruno RonzaniColor Grading: Diogo ComumPós Produção: Butterfly Coletivo Fotografia adicional: Fabio Freitas/Cine Kordel/João WainerEdição de Introdução: DJ LooÁudio gravado, mixado e masterizado no RefugiAudio Estúdio por BaseMcBeatProdutor Dexter: Clayton VazFotos: Léo MunizVan: Motorista NenêApoio: Oitavo Anjo Produções, iMusics, Chronic, Evoke e Universo JoalheriaAgradecimentos Especiais: Racionais MC's, BaseMcBeat, Rapper Gregory, Márcio 8o Anjo, Léo Gordo, Pedro, Paulão, Eder, Juliano e Beatriz Felix.Shows Dexter: (11) 5062- 2904 / (11) 96837-6928producao@dexteroitavoanjo.com.br"
"wzodaNUkqg0","CLIPE TRAVA NA BELEZA / CLIPE OFICIAL / TIRULLIPA e AS IRMÃZONAS","2020-08-20T15:00:12Z","UCChX88lCd7o1buiqdWdME-Q","Tirullipa Show","23","20.22.08","Humor|Dvd|Tiririca|Tirullipa|Comedy Stand Up|Show|Entretenimento|Comédia|Standup|show|rir|alegria|parodia|clipe|show de humor|resenha|jayme junior|jaymejunnior|usina criativa|trava na|trava|beleza|trava na beleza|clipe oficial|as irmãzonas|tirullipa e as irmãzonas|destrava|faz carinha de princesa|bufo|bufu","2003788","214256","3969","6641","https://i.ytimg.com/vi/wzodaNUkqg0/default.jpg","False","False","Clipe Oficial TRAVA NA BELEZAMúsica:  TRAVA NA BELEZA Autores: Tirullipa Show e Foguinhowww.tirullipashow.comPUBLICIDADE : JAYME JÚNIOR (85)98910-0000✔ Deixe seu like e compartilhe se gostou ☺✔ Inscreva-se no canal ☺✔ Selecione para receber notificações clicando no sininho pelo seu celular e/ou computador ☺=================✔ REDES SOCIAIS:Instagram: http://instagram.com/tirullipaFacebook: http://facebook.com/tirullipashowoficial=================Seja bem-vindo(a) ao canal Tirullipa Show!O canal tem como objetivo compartilhar de uma forma engraçada e divertida um rico conteúdo de Paródias e piadas. Quero levar alegria a todos, curta e compartilhe o abestado aqui.- - -OBSERVAÇÃO:O reenvio deste conteúdo ao YouTube, sem autorização legal poderá lhe trazer problemas com direito autoral e consequentemente encerramento de sua conta.=================#clipeoficial #clipe #piada #alegria #humor #show #resenha #tirullipa🔔 Não esqueça de ativar o sininho para receber notificação assim que sair um vídeo novo."
"1Ji48IQkIxQ","Guilherme e Benuto - Pulei Na Piscina (DVD DRIVE-IN 360)","2020-08-21T14:00:08Z","UCfG0o17SqRg8qAjlpTdxZag","Guilherme e Benuto","10","20.22.08","dvd drive in|guilherme e benuto|pulei na piscina|drive in 360|no pelo 360|dilsinho|guilherme e benuti|musica sertaneja|sertanejo|musica pulei na piscina|sertanejo 2020|live drive in|live sertanejo|live as patroas|lançamento as patroas|marilia mendonça|maiara e maraisa|o pai ta on|mc wm|manu gavassi|deve ser horrivel dormir sem mim","949360","8801","97","367","https://i.ytimg.com/vi/1Ji48IQkIxQ/default.jpg","False","False","Ouça Nos Aplicativos de Música: https://SMB.lnk.to/PuleiNaPiscinaSiga nas redes: Instagram: https://instagram.com/guilhermeebenuto Facebook:  https://facebook.com/guilhermeebenutoTwitter:  https://twitter.com/guilhermebenutoPara shows: (62) 3642-9536 / (62) 98579-5461marcio@vienaproducoes.com.brPulei Na Piscina - LETRACompositores: Gui Artioli (Guilherme) | Nuto Artioli (Benuto) | Nando Marx | Flavinho Tinto | Douglas MelloPode virTá de boaQue hoje ela não vemDisse um amigo meu, pra me tranquilizarCê tá precisando sair, precisando esquecerHoje é piscina e churrasco, só traz o que cê for beberChegando lá, algum filho da mãe também chamou ela pra irE ela foi com outro...E eu que não sou de levar sofrimento pra casa Quando ela foi dar um beijo neleA vista embaçou e eu não vi mais nada!Pulei na piscina, chorei disfarçadoSó pra ninguém ver os meus olhos molhadosPulei na piscina tão desesperado Que quando eu caí foi mágoa pra todo lado!Pra ver se esse amor morre afogado!#guilhermeebenuto #puleinapiscinaProdução Musical: Ivan MiyazatoProdução de Vídeo: Fernando Trevisan Catatau"
"zcr3xClaG_8","Carol Biazin, Vitão - Sempre Que Der","2020-08-21T14:01:43Z","UCUyXM-KJtii9lNE21UNWUWQ","CarolBiazinVEVO","10","20.22.08","Carol|Biazin|Vitão|Sempre|Que|Der|Universal|Music|International|Ltda.|Pop","214194","31392","734","2959","https://i.ytimg.com/vi/zcr3xClaG_8/default.jpg","False","False","Clique aqui e ouça a música: https://umusicbrazil.lnk.to/SempreQueDerYDSIGA ARTISTA:Twitter: https://twitter.com/carolbiazinInstagram: https://www.instagram.com/carolbiazinFacebook: https://www.facebook.com/carolbiazinSempre que der(Carol Biazin / DAY / Vitão / Tiê / Los Brasileros)Sempre que derTo indo aíQuando eu não puderVocê vem me ver aquiMas se hoje eu beber só um pouco mais do que eu deveria beber babyNão me recuse, não me ignoreQuem sabe um gole te traz aqui OiDiz pra mim como é que foiSeu dia tá bom, o meu também táMas podia melhorarAinda falta um mês pra gente se encontrar Esperei o dia clarear pra poder te ligarÉ que passei em claro essa noiteDa meia noite até as 9:00 da manhã Sempre que derTo indo aíQuando eu não puderVocê vem me ver aquiMas se hoje eu beber só um pouco mais do que deveria babyNão me recuse, não me ignoreQuem sabe um gole te traz aqui No bar  silêncio corrói mais que o ginE o meu pouco tempo, confunde com o dinLevo pouco tempo pra pensar em mimQuando penso em você é conjunto do simPara pra pensar se a gente ja acabouOu se foi costume, rotina e saborDe saudade forte, não morte do amorBaby seja forte, não corte essa dor FICHA TÉCNICA: Equipe Head MediaDireção A&R – Pedro Dash e Marcelinho FerrazCoordenação A&R – Dinho RicardoLabel Director – José PeñaFinaceiro – Ewerton DalpinoMusicaProdução Musical: Los BrasilerosMixagem: Marcelinho FerrazAssistente: André Sala “Xerife”Masterização: Carlos FreitasMusic video by Carol Biazin, Vitão performing Sempre Que Der. © 2020 Head Media / Universal Music Ltdahttp://vevo.ly/6Ad6Vo"
"ZPBjnSmr7lg","LIGUEI PARA MINHA EX NAMORADA NESSE VÍDEO!! ( DEU RUIM ) [ REZENDE EVIL ]","2020-08-20T23:00:04Z","UCbTVTephX30ZhQF5zwFppBg","rezendeevil","24","20.22.08","Rezende|Rezende evil|Rezendeevil|evil|entretenimento|kids|criança|familia|video para criança rir|video para familia|family|video rezendeevil|video rezende|video engraçado|video divertido|video infantil|infantil|video para criança","2002515","504835","5857","15433","https://i.ytimg.com/vi/ZPBjnSmr7lg/default.jpg","False","False","SE INSCREVA: https://www.youtube.com/user/rezendeevil?sub_confirmation=1MEU CANAL NOVO: https://www.youtube.com/channel/UCiO3RPRhg5blmMsw6YytKCgCANAL DE MINECRAFT:https://www.youtube.com/channel/UC7iyparkdas-4UTSL_gktQgNÃO CLIQUE AQUI: https://www.youtube.com/playlist?list=PL0xQPAWTD7FQGB5XRVA7UknxdR0Q78oxhVIDA ESCOLAR: https://www.youtube.com/playlist?list=PL0xQPAWTD7FRZJaFn4z3345yxue_Tkw5aMELHOR TROLLAGEM: https://www.youtube.com/playlist?list=PL0xQPAWTD7FThTuuPd1IqlXvj2rQidqiKVIDA DE ADOLESCENTE: https://www.youtube.com/playlist?list=PL0xQPAWTD7FRBD7V836Gyr2XOcYTXug7ePARÓDIAS: https://www.youtube.com/playlist?list=PL0xQPAWTD7FT_jkBuS-Tw4H5cFouyzrj6Contato comercial: rezende@adragencia.com.br"
