video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"gdZLi9oWNZg","BTS (방탄소년단) 'Dynamite' Official MV","2020-08-21T03:58:10Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.22.08","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","124756617","9846170","358403","4823534","https://i.ytimg.com/vi/gdZLi9oWNZg/default.jpg","False","False","BTS (방탄소년단) 'Dynamite' Official MVCredits:Director: Yong Seok Choi (Lumpens)Assistant Director: Jihye Yoon (Lumpens)Director of Photography: Hyunwoo Nam (GDW)B Camera Operator: EumkoFocus Puller: Sangwoo Yun, Youngwoo Lee2nd AC: Eunki Kim3rd AC: Kyuwon SeoDIT: Eunil LeeGaffer: Song HyunsukLighting Crew: Choi Jung Hyun, Hwang Uigyu, Kim Hyun Ju, Park Cheonil, Park Yeonghwan, Yeom JaehyeokJimmy Jib Operator: Youngjung KimJimmy Jib Assistant: Hyun in Kim, Sung Hoon KimArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang (MU:E)Art-team Manager: ilho Heo (MU:E)Producer: Emma Sungeun Kim (GE Production)Location Manager: Ji Hoon HanVFX STUDIO: PLASTIC BEACHVFX Supervisor: OhzeonVFX Assistant Supervisor: JojeemVFX Project Manager: Chanyoung Song, Jieun JeongVFX Producer: Kyutae Jang3D Artist: Kwangwon Lee, Doyeon Kim, Jeonghwa Lee, Jiwon Jeon2D Artist: Gihoon Jang, Hyunjun LeeVisual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Jung Su JungBrand Experience Design: Kris Seongmin Gim, Hyeri Lee Performance Directing: Son Sung Deuk, Lee Ga Hun, Lee Byung Eun, Hyewon ParkArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung MinBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #BTS_Dynamite #Dynamite #MV"
"et1G_dp9iWE","【アーカイブ】白石麻衣誕生日＆チャンネル開設記念LIVE！","2020-08-20T13:46:57Z","UCUApURCve0BEqv6Sa9x_OJg","my channel【白石麻衣 公式】","22","20.22.08","[none]","3909529","124992","3217","3389","https://i.ytimg.com/vi/et1G_dp9iWE/default.jpg","False","False","8/20に誕生日を迎えるにあたって、この度、白石麻衣 公式YouTubeチャンネルを開設しました。配信の中では、今後このチャンネルでやってみたいことや、卒業コンサート、卒業への思いについてなど色々お話ししています。なんと！誕生日をお祝いすべく、松村沙友理、高山一実もプレゼントを持って飛び入り参加しちゃいます！これからの動画も楽しみにお待ちください！#乃木坂46 #nogizaka46#白石麻衣 #松村沙友理 #高山一実"
"s90wFX_abzs","真下から見る打ち上げ花火は言葉を失うほど綺麗でした。","2020-08-21T17:50:00Z","UCL6JY2DXJNDOIqCP1CRADng","エガちゃんねる EGA-CHANNEL","23","20.22.08","江頭|エガちゃん|エガちゃんねる|SAMURAI|BADASS|laugh","480369","41524","240","3581","https://i.ytimg.com/vi/s90wFX_abzs/default.jpg","False","False","世界のEGA目指して江頭２：５０、頑張ります。「チャンネル登録、頼むぜ！」Egashira2:50 is a BADASS SAMURAI !!!Please subscribe !!!▼エド・はるみさんのYouTube「エド先生のYouTube」　https://www.youtube.com/channel/UCm745dvqmbPPcomjMO54AuQ▼IZANAGIさんのYouTube「IZANAGI Channel」　https://www.youtube.com/channel/UCs6QtIRJpHoN_S7AOxvt9uQ▼浅野祥さんのYouTube「SHO ASANO OFFICIAL -Shamisen Player-」　https://www.youtube.com/channel/UCRZoaiwm-FBZXBN0iqeSe8Q▼サブチャンネル「エガちゃんねる〜替えのパンツ〜」    https://www.youtube.com/channel/UCU607BfClX724VqZZ9zWWcA?view_as=subscriber▼エガちゃんねる公式ショップ　https://channelega.official.ec▼エガちゃんねるLINEスタンプhttps://line.me/S/sticker/11916290▼エガちゃんねる公式Twitter    https://twitter.com/samurai_badass▼エガちゃんねる公式Instagram    https://instagram.com/egachannel?igshid=1p9y690be4i5g▼エガちゃんねる公式TikTok　https://vt.tiktok.com/FsPEeK/▼お問い合わせはこちら     info@bampeiyu.com#江頭#エガちゃんねる#BADASS"
"lMC6_j37TLE","ITZY Not Shy Dance Practice (Moving Ver.)","2020-08-21T15:00:14Z","UCDhM2k2Cua-JdobAh5moMFg","ITZY","24","20.22.08","JYP Entertainment|JYP|ITZY|있지|ITZY Video|ITZY Yeji|ITZY Lia|ITZY Ryujin|ITZY Chaeryeong|ITZY Yuna|있지 예지|있지 리아|있지 류진|있지 채령|있지 유나|예지|리아|류진|채령|유나|Yeji|Lia|Ryujin|Chaeryeong|Yuna|ITZY BEHIND|ITZY VIDEOS|ITZY DEBUT|있지 데뷔|not shy|ITZY not shy|ITZY TEASER|있지 티저|not shy 티저|있지 뮤비 티저|not shy 뮤비 티저|ITZY MV TEASER|ITZY MV|M/V|TEASER|있지 컴백|ITZY COMEBACK|not shy MV|낫샤이 뮤비|낫샤이|dance practice|안무연습영상|itzy dance pracitce","3023777","333123","3317","8855","https://i.ytimg.com/vi/lMC6_j37TLE/default.jpg","False","False","ITZY Not Shy Dance Practice (Moving Ver.)Find ITZY Not Shy onMelOn http://kko.to/WxG0NBrDHApple Music https://music.apple.com/us/album/not-shy-ep/1527387195?l=enSpotify https://open.spotify.com/album/0aqu2V5ohKHVfWqVFE7Ila[ITZY Official] https://www.youtube.com/c/ITZYhttps://www.instagram.com/itzy.all.in.us/http://www.twitter.com/ITZYOfficialhttp://www.facebook.com/OfficialITZYhttp://ITZY.jype.comhttp://fans.jype.com/ITZY#ITZY #NotShy #ITZY_NotShyCopyrights 2020 ⓒ JYP Entertainment. All Rights Reserved"
"ZthcAroknFE","【総額9.5億円！？】パガーニ＆ブガッティ 前澤のスーパーカー大公開","2020-08-21T09:00:08Z","UCO3gOWCjoz9aeXdSUt6Fhmw","Yusaku Maezawa","22","20.22.08","前澤友作|ZOZO|Vlog|ゾンダ|ブガッティ|シロン|ヴェイロン|お金配りおじさん|motorsports|motor show","743514","13657","1195","2424","https://i.ytimg.com/vi/ZthcAroknFE/default.jpg","False","False","以前YouTubeでご紹介したスーパーカー、ケーニグセグ 「ジェスコ」が大好評。「他のクルマも紹介してほしい」というご意見が多数寄せられました。ということで！今回は、前澤が特に気に入っている愛車3台をご紹介させていただきます！他ではなかなか目にできないスーパーカーたちです。車が好きな人もそうでない人も、ぜひ楽しんでいってください！また「エンジンもっと細かく見せてほしい」「走ってるところがみたい」などの車ファンからのコアなご意見もありました...そこで、スーパーカー1台1台をさらに詳しく紹介する動画も一緒に作っちゃいました！▼【Pagani Zonda ZOZO】世界に一台！市場価格8億円のスーパーカー！？https://youtu.be/WhGZVhW8MdY「MZ SUPERCAR PROJECT」とは前澤友作のスーパーカーを通じて、未来への夢と希望を創造するプロジェクト前澤所有のスーパーカーを余すことなく紹介する「MZ SUPERCAR PROJECT」YouTubeチャンネルも、応援よろしくお願いいたします。After showing off his Koenigsegg Jesko supercar in one of his previous videos, people have been wanting more from MZ… “Show us more from your car collection”, they say.So…he is back with more cars!MZ has selected three of his favorite cars from his valuable collection to introduce to you.Whether you are a car lover or not, this video will be sure to entertain you.Not only that but due to an overwhelming number of comments from hardcore car fans asking for more details about the engines and requests to see the car in action, we have also made a video introducing each of the supercars more thoroughly.See Video Here: ▼【Pagani Zonda ZOZO】Only One in the World! A Supercar with Market Value Worth approx. US$8 million!?https://youtu.be/WhGZVhW8MdYWhat is ‘MZ SUPERCAR PROJECT’?Through MZ’s collection of supercars, this project aims to create dreams and discover hope for the future.Please subscribe and support MZ SUPERCAR PROJECT’s YouTube Channel where you can learn more about MZ’s supercars.VIDEO by ONE MEDIA#前澤友作 #Vlog #スーパーカー"
"I3y3IFXzrrw","ガチ詐欺事件に進展がありました","2020-08-21T10:00:11Z","UCJZVj2iBrdvbNc416i0V-UA","朝倉未来 Mikuru Asakura","24","20.22.08","朝倉未来","1195394","19358","2087","5145","https://i.ytimg.com/vi/I3y3IFXzrrw/default.jpg","False","False","僕たちが今回の交渉で参考にした堀鉄平弁護士の動画はこちらhttps://m.youtube.com/watch?feature=youtu.be&v=P5mkmmxWAuMガチ詐欺にあった動画の前編はこちらhttps://www.youtube.com/watch?v=s37jewPUBsU&t=1179sサブチャンネルhttps://www.youtube.com/channel/UCOF2nUSKF2Mz_vZHlxjxRTg/アパレル販売開始しましたhttps://matinavenir.com/朝倉未来LINE公式アカウントhttps://lin.ee/l5riuy5朝倉未来の書籍「強者の流儀」発売開始しましたhttps://www.amazon.co.jp/dp/4046046961LINEスタンプhttps://line.me/S/sticker/10221660過去の動画はこちらぼったくりバーに一人で潜入したらあり得ない金額を請求されて口論になったhttps://www.youtube.com/watch?v=PX7lAOg5zeU&t=381sドッキリされたのでやり返した話https://www.youtube.com/watch?v=hSAULvpFCCE&t=832s街の喧嘩自慢にプロ格闘家がスパーリングを申し込んだらやるのかやらないのか【大阪編・前編】https://www.youtube.com/watch?v=xyl1vg9isL8メンバーでガチスパーリングしてみた【神回】https://youtu.be/VzW3oZGJ8_Q【ブチギレ】ナンパした女性の彼氏が朝倉未来だったらどうなる？https://www.youtube.com/watch?v=3SKBaeSgBQs&t=594s・朝倉未来 ツイッター　インスタグラムhttps://www.instagram.com/mikuruasakurahttps://twitter.com/MikuruAsakura・佐々木くんhttps://twitter.com/hiro_sasaki_https://www.instagram.com/hirosasaki_/・たくまhttps://twitter.com/Taku0532https://www.instagram.com/md_takuma/・吉田くんhttps://www.instagram.com/yoshi_da318https://twitter.com/Yoshida_318・きなこhttps://twitter.com/kinakopoodlehttps://www.instagram.com/poodlekinako/・朝倉未来 Youtube公式インスタグラムhttps://www.instagram.com/asakuramikuruyt・朝倉未来 Youtube公式ツイッターhttps://twitter.com/asakuramikuruyt・お仕事のご依頼はこちらmikuruasakuramg@gmail.com"
"fy8Fzo3WbWc","Not Shy - ITZY [뮤직뱅크/Music Bank] 20200821","2020-08-21T09:22:38Z","UCeLPm9yH_a_QH8n6445G-Ow","KBS Kpop","10","20.22.08","Not Shy|가요|가수|음악|케이팝|ITZY","777819","52453","770","1286","https://i.ytimg.com/vi/fy8Fzo3WbWc/default.jpg","False","False","Not Shy - ITZYKBS2 TV 뮤직뱅크｜매주 금요일 오후 5시에 방송됩니다."
"yK8Jdt8FTGU","本当にヤバい！最恐スポット首狩神社で最悪の遭遇!?現場騒然の緊急事態発生！","2020-08-21T09:00:13Z","UCL4NX3B5v_gYc5XXWSTcpMA","ゾゾゾ","24","20.22.08","心霊スポット|ホラー|恐怖|アトミック","455046","16597","236","3383","https://i.ytimg.com/vi/yK8Jdt8FTGU/default.jpg","False","False","[※]この動画は2020年6月中旬に撮影されたものです。ゾゾゾ セカンドシーズン(全24回)第13回「本当にヤバい！最恐スポット首狩神社で最悪の遭遇!?現場騒然の緊急事態発生！」ゾゾゾとは、心霊スポットや恐怖ゾーンといった日本全国のゾゾゾスポットをレポートして、ホラーポータルサイトを作るという壮大な目標を掲げたホラーエンタテイメント番組です。ゾゾゾはあなたからのゾゾゾスポットの情報をお待ちしております。レポートしてほしい場所があったらぜひ教えてください。ホラーエンタテイメント番組「ゾゾゾ」メインパーソナリティ／落合スタッフ／内田・山本スペシャルゲスト／長尾ディレクター・カメラ・編集／皆口公式ホラー情報発信ブログhttps://zozozo.jpTwitterで最新情報やオフショット更新中！https://twitter.com/ChZozozoInstagramで心霊スポットの写真を更新中！https://www.instagram.com/zozozo_photos/[※]ゾゾゾは探索や肝試しを推奨している動画ではありません。探索や肝試しは自己責任です。トラブル等の全ての責任は一切負いかねます。#ゾゾゾ #セカンドシーズン #心霊"
"ASnTyKY743w","埋まってたら犬が匂いを嗅ぎつけて助けてくれる説。","2020-08-21T11:00:06Z","UCljYHFazflmGaDr5Lo90KmA","SUSHI RAMEN【Riku】","24","20.22.08","すしらーめん|りく|学生|おもしろ|動画|バカ|面白|実験|youtuber","1594508","68645","688","3326","https://i.ytimg.com/vi/ASnTyKY743w/default.jpg","False","False","※見守る人がいない中で土に埋まるのは危険です。訓練を積んだ忍者以外の方は真似しないようご協力宜しくお願いをします！（私は半分忍者なので、安全のため目にモニターを付けて任務を遂行しております）「暑すぎ」です。間違いなくこれは宇宙人が私たち地球生命に『どこまで暑くしたらキレられるか』的なドッキリをやっています。宇宙動画配信サイトに上がっている動画にテロップで「人間優しい！40度設定にしてみたけどまだクーラーで頑張って冷やしてる笑」とか書かれていると思うと、逆にダウンジャケットを着て寛ぐ姿を見せつけることで相手の戦意を削ぎたくなりますね。しかしそろそろ宇宙人も資源的にこれ以上温度を上げるのは凄まじい電気代の請求が行くことになるので、諦めるでしょう。とは言いつつも、マジで暑いので今日は無駄にAM3:30に起きて浜辺にやって来ました。冷え切った砂浜に埋まるのは爽快そのもの。皆様は「なんで日本にはこんなにも忍者がいないの？アイツらどこ行ったん？」と考えたことはないでしょうか？私はてっきり”忍者だから”見つける事ができないのだと思っていました。しかし思い出してください。お手入れをしていない山々に夏になると一斉にオイシゲル”竹やぶ”達を。あれ、多分みんな忍者です。掘り起こすと屈強な忍者が土の中から睨みつけてくるので絶対に掘り起こさないように気をつけましょう。ってことでね（無理やり）本日はよく映画とかである犬君が主人を助ける愛の感動ストーリ。あちらを体験すべく、半目で爆睡する愛しのウェーブ先輩を叩き起こし、日の出と共に土に戻る俺を掘り起こしていただいて ポッ...とした気持ちになっていこうと思います。--------------------------------------------------------この投稿頻度最弱チャンネルは、チャンネルメンバーシップ(村長、長老)様のご支援を受けて制作をしています。心の底からありがとうございます。より面白い動画を作れるように、恩返しできるように頑張ります！https://www.youtube.com/channel/UCljYHFazflmGaDr5Lo90KmA/join--------------------------------------------------------その辺にいる大学生です！「またあいつアホな事やってるな〜」っと気軽に友達感覚で見てもらえたら嬉しいです！Twitterなどで気軽にリクエスト飛ばしてね！◆グッズページ[🌱ZERO GRAVITY🌱]→ https://zerogravity.base.shop ◆◆Twitter→ https://twitter.com/sushi_riku?lang=ja ◆◆Instagram→ https://www.instagram.com/sushi_riku/?hl=ja ◆◆すしらーめん2nd!!→ https://goo.gl/XIAoCO ◆◆ブログ→ https://ameblo.jp/sushi-ramen/ ◆・企業様のお問い合わせは、直接Gmailの方に宜しくお願い致します。・翻訳をお手伝いしてくださる方がいらっしゃいましたらご連絡をお待ちしています！Business Mail→sushiramen.business@gmail.com"
"9adsLLdzQdg","Mステ辞退の理由","2020-08-21T10:59:01Z","UC4Zyu8fXoss8fnCraoqVprA","がくちゃん GACKT official YouTube","24","20.22.08","gackt|ガクト|がくと|格付け|一流芸能人|YOUTUBER|MALICE MIZER|マリスミゼル|トレーニング|すべらない話|シンソウ坂上|Poker|KHAOS|GACKTの勝ち方|GACKTの負け方一流|ワイン|ガクザップ|YOSHIKI|ビジュアル系|HYDE|ラルクアンシエル|英語|英会話|English|塾|外国語|学校|７月４日|誕生日|バースデー|Birthday|マレーシア|映像編集|Mac|adobe|Mステ|MusicStation|辞退","427332","18063","570","1272","https://i.ytimg.com/vi/9adsLLdzQdg/default.jpg","False","False","★ニコニコ生放送新番組「GACKTと一緒に家呑み!!」毎週土曜日22時配信中！お酒を飲みながらゲストを迎えてのココだけの90分生配信！http://ch.nicovideo.jp/gackt★GACKTの勝ち方　特装版発売中！予約サイトはこちらhttps://northvillage.asia/gacktnokachikata/★YOUTUBEGACKT Official NEW&Official VIDEOShttps://www.youtube.com/GACKTofficial/★インスタグラムhttps://instagram.com/gackt★ツイッターhttps://twitter.com/gackt★17Livehttps://17.media/share/profile/7bab35...★GACKTLINE公式アカウントhttp://line.naver.jp/ti/p/%40gackt★Facebookhttps://www.facebook.com/GACKTOfficia...★目利きサイトびぷちゃんhttps://vip-channel.com"
