video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"gdZLi9oWNZg","BTS (방탄소년단) 'Dynamite' Official MV","2020-08-21T03:58:10Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.22.08","BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄","124756617","9846105","358395","4823566","https://i.ytimg.com/vi/gdZLi9oWNZg/default.jpg","False","False","BTS (방탄소년단) 'Dynamite' Official MVCredits:Director: Yong Seok Choi (Lumpens)Assistant Director: Jihye Yoon (Lumpens)Director of Photography: Hyunwoo Nam (GDW)B Camera Operator: EumkoFocus Puller: Sangwoo Yun, Youngwoo Lee2nd AC: Eunki Kim3rd AC: Kyuwon SeoDIT: Eunil LeeGaffer: Song HyunsukLighting Crew: Choi Jung Hyun, Hwang Uigyu, Kim Hyun Ju, Park Cheonil, Park Yeonghwan, Yeom JaehyeokJimmy Jib Operator: Youngjung KimJimmy Jib Assistant: Hyun in Kim, Sung Hoon KimArt Director: Bona Kim, Jinsil Park (MU:E)Assistant Art Team: Yeri Kang (MU:E)Art-team Manager: ilho Heo (MU:E)Producer: Emma Sungeun Kim (GE Production)Location Manager: Ji Hoon HanVFX STUDIO: PLASTIC BEACHVFX Supervisor: OhzeonVFX Assistant Supervisor: JojeemVFX Project Manager: Chanyoung Song, Jieun JeongVFX Producer: Kyutae Jang3D Artist: Kwangwon Lee, Doyeon Kim, Jeonghwa Lee, Jiwon Jeon2D Artist: Gihoon Jang, Hyunjun LeeVisual Creative: Nu Kim, Sabinne Cheon, Lee Sun Kyoung, Kim Ga Eun, Jung Su JungBrand Experience Design: Kris Seongmin Gim, Hyeri Lee Performance Directing: Son Sung Deuk, Lee Ga Hun, Lee Byung Eun, Hyewon ParkArtist Management: Kim Shin Gyu, Kim Su Bin, Kim Dae Young, Park Jun Tae, An Da Sol, Ahn Jong Hun, Yun Tae Woong, Lee Seung Byeong, Lee Jung MinBig Hit Entertainment. Rights are reserved selectively in the video. Unauthorized reproduction is a violation of applicable laws. Manufactured by Big Hit Entertainment, Seoul, Korea.Connect with BTS: https://ibighit.com/bts http://twitter.com/BTS_bighithttp://twitter.com/BTS_twt http://www.facebook.com/bangtan.official https://www.youtube.com/user/BANGTANTV http://instagram.com/BTS.bighitofficial https://channels.vlive.tv/FE619 https://www.tiktok.com/@bts_official_bighithttps://weverse.onelink.me/qt3S/94808190https://www.weibo.com/BTSbighithttps://www.weibo.com/BTSmembers http://i.youku.com/btsofficial http://btsblog.ibighit.com#BTS #방탄소년단 #BTS_Dynamite #Dynamite #MV"
"NvK9APEhcdk","Dynamite","2020-08-21T04:18:03Z","UC9vrvNSL3xcWGSkV86REBSg","BTS - Topic","10","20.22.08","BTS|Dynamite","3517743","620303","2355","15348","https://i.ytimg.com/vi/NvK9APEhcdk/default.jpg","False","False","Provided to YouTube by 'BigHit Entertainment'Dynamite · BTSDynamiteReleased on: 2020-08-21Auto-generated by YouTube."
"4ThSJdzARLg","나 적응 다 됐어요~ 일타강사 국진쌤 명품샷의 향연, 근데 어째 퍼팅이..?ㅋㅋㅋ [김구라의 뻐꾸기 골프 TV] 10-2화","2020-08-21T09:00:01Z","UC3eNWzE-pftCXatCuUAaHGw","김구라의 뻐꾸기 골프 TV","17","20.22.08","김구라|골프|골프 스윙|골프스윙|골프왕|골프 기초|골프 레슨|골프존|골프장|연예인 골프|골프 그립|골프 자세|골프 캐디|골프 용품|골프 웨어|골프채|골프TV|스크린골프|김구라 골프|골프초보|골프기초|골프아이언|골프드라이버|골프우드|장타|비거리","576994","6529","471","922","https://i.ytimg.com/vi/4ThSJdzARLg/default.jpg","False","False","#골프 #김국진 #김구라 #골프TV #김국진골프*본 영상은 (주)카카오브이엑스 유료광고 내용을 포함하고 있습니다. 안녕하세요, 뻐꾸기골프TV 구독자 여러분! 역시는 역시입니다. 필드 위의 신사 김국진 선생님,라운딩 상대에 따라 완급조절이 가능한 골프를 구사하신다더니 그 말씀이 과언이 아니었습니다.예능인으로서의 본분도 잊지 않고지난 번 시리즈에는 보는 시청자들마저 긴장 졸이게 하시더니이번 편에선 본래의 실력을 유감없이 발휘하시네요.중간 중간 이어지는 골프 일타강사 국진 선생님의깨알같은 원포인트 레슨도 놓치지 마시길 바라며이번 편도 끝까지 재미있게 감상해주시길 부탁드립니다.언제나처럼 많은 관심과 사랑 그리고 그에 상응하는 좋아요, 구독, 알림설정! 부탁드립니다.제작 : SH enter & company비즈니스 문의 : guragolf@sandbox.co.kr / 샌드박스네트워크"
"ASdass18bAI","한국이 극소수 국가만 보유한 확산탄을 보유하자 전 세계 94개국이 포기하라며 한국에게 압력을 가하는 상황","2020-08-22T08:30:00Z","UCp6WQCReo512WxExm7u6Vyg","꺼리튜브","28","20.22.08","꺼리튜브|퍼플튜브|세상사|디씨멘터리|퍼펙트경제|시사멘터리|가치왕|바이스톰코리아|닥터시사tv|잡식왕|쓸모왕|바나바튜브|트래블튜브|페페티비|1234만조회수|진심TV news|시사포커스tv|깡통맨|한국무기|한국무기수출|한국무기들|자주국방|밀리터리|군사|안보|국방tv|군사력|신인균tv|유용원|문재인|icbm|탄도미사일|kf-x|첨단 항공무기|안보tv|신인균|한국|한국방산무기|한국전략무기|스텔스|초음속미사일|극초음속미사일|f-22|f-35|f35b|항모|한국항공모함|경항공모함|경항모|현무미사일|현무|비궁|유도미사일|한국육군전력|한국해군전력|한국공군전력|일본자위대|일본전투력|중국전투력|일본해상자위대|한국전략자산|비대칭무기|한국비대칭무기|첨단무기|emp|핵잠수함|도산안창호함|한국잠수함|원자력추진잠수함|첨단항공무기|리얼리즘|여왕tv|깡통튜브|최고수익률|한국방산무기 수출|uae|집속탄 강철비|집속탄 폭격|집속탄 백린탄|확산탄|확산탄 정밀공습|클러스터링|클러스터폭탄|폭탄","274375","7992","207","403","https://i.ytimg.com/vi/ASdass18bAI/default.jpg","False","False","구독하기 : https://bit.ly/2KUNpNx안녕하세요? 세상의 모든 이야기를 얘기하는 꺼리튜브입니다.오늘은 한국이 보유한 확산탄에 대해 알아보겠습니다구독과 좋아요 눌러주시면 정말 큰 힘이 됩니다.스토리가 있는 군사무기 채널==꺼리튜브== 많이 사랑해주세요비즈니스 문의 : koyoki0716se@gmail.com------------------------ Video sources- https://www.videezy.com/- https://www.pexels.com- 국방부-------------------------------------------------------------- Sound sourcesChildhood by Mike Chino https://soundcloud.com/mike-chinoTrack : TTRM - 웅장한 느낌의 곡Music by TTRM (Titanrium) , https://blog.naver.com/gbamasterPromoted by http://bit.ly/DayDream_Youtube이 영상(콘텐츠)에 사용된 폰트는 RixFont 입니다#꺼리튜브 #한국무기 #한국무기수출"
"T9DyWNKogtw","3D펜으로 나고 만들기","2020-08-21T03:10:45Z","UCd4FmcWIVdWAy0-Q8OJBloQ","사나고 Sanago","26","20.22.08","사나고|3D펜|3Dpen|만들기|making|3d프린터|3Dprinting","1500071","55535","563","10266","https://i.ytimg.com/vi/T9DyWNKogtw/default.jpg","False","False","● 3D펜 사나고 샵https://smartstore.naver.com/sanago● 인스타그램https://www.instagram.com/sanago_kr/● 3D펜카페 [사나고의 3D펜 비밀기지]https://cafe.naver.com/sanago● Contact 광고문의uggnll@naver.com각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너,CONTENTSFLY에서 제작되었습니다.https://www.contentsfly.com      #사나고 #3Dpen #3D펜"
"QPftq2qGDRQ","고개 숙여 사과드립니다. 그리고 해명하고 싶습니다.","2020-08-22T05:00:04Z","UC8av1CNslnPQS3N08rkzzhQ","오프라이드oh-pride","2","20.22.08","[none]","203402","1969","6186","3008","https://i.ytimg.com/vi/QPftq2qGDRQ/default.jpg","False","False","고개 숙여 사과드립니다. 그리고 해명하고 싶습니다."
"AfvFJwT1a_A","사랑해♥[EP.16]","2020-08-22T08:14:22Z","UCjaoaH1tIwV6uLZHEmlQNdw","사과몽","20","20.22.08","사과몽|개리형|고춘|mong|사과|게임|ps4|xbox|스팀|원숭이|몽키|노래|랩|플래쉬|온라인|타요|하나나|지라라|이춘향|메도우이|재넌|해물파전|웁|백설양|lol|롤|리그오브레전드|페이커|도파|섹시|귀염|분노|빡침|발암|듀오|코믹|해몽듀오|아프리카|트위치|더빙|여bj|여겜|라디오|토크|수다|하이라이트|멘탈|이상호|롤선생|러너|연지|마인크래프트|고수|종합게임|컨트롤|공략|로스트아크","244897","6496","76","2608","https://i.ytimg.com/vi/AfvFJwT1a_A/default.jpg","False","False","#사과몽#개리형롤 물음표 핑 ( LOL question mark green screen )https://www.youtube.com/watch?v=uTHYIEN2ayg flower particle [Youtube channel freeticon]https://www.youtube.com/channel/UCR0gCihMuPcEafKOroPS1xg?view_as=subscriber  --------------BGM-------------Music provided by 브금대통령Track : Doopba - https://youtu.be/38kepvoHjoI"
"mBxs7D9nNPk","인내심 상위 0.01%만 끝까지 볼 수 있다는 전설의 영화","2020-08-22T04:00:19Z","UCaHGOzOyeYzLQeKsVkfLEGA","지무비 : G Movie","1","20.22.08","영화|지무비|병맛|가짜사나이|망작|영화소개|영화리뷰|코미디","582822","11500","240","2559","https://i.ytimg.com/vi/mBxs7D9nNPk/default.jpg","False","False","#지무비 #병맛영화 #아틀란틱림괴롭다..."
"ZlSddG-AT9M","[주진우 라이브 스페셜] 주진우, 전광훈 15년 넘게 취재했다! (200822)","2020-08-22T08:00:14Z","UCMLJc_D3jgFcS_48G7i4V0A","KBS 1라디오","25","20.22.08","[none]","112578","9129","173","539","https://i.ytimg.com/vi/ZlSddG-AT9M/default.jpg","False","False","2020년 8월 22일[주진우 라이브 스페셜] KBS 1 Radio FM 97.3MHz 토 17:05~17:58주진우 기자 & KBS 김기화 기자와 함께 다시 듣는 이번 주 ‘주진우 라이브’ 하이라이트▷ 0820 목 [주필] + 0818 화 [훅인터뷰] 이용필 뉴스앤조이 기자- [여의도 주feel] 주진우가 느낌대로 고른, 오늘 Feel 꽃힌 뉴스주필 풀버전 ☞ https://www.youtube.com/watch?v=tboCBCf4QQo&t=43s- [훅인터뷰] 이용필 뉴스앤조이 기자 / 광복절 광화문 집회 현장에선 무슨 일이?인터뷰 풀버전 ☞ https://www.youtube.com/watch?v=B0qxJwgwzYA&t=18s▷ 0819 수 [훅 인터뷰] 이재명 경기도지사- 경기도 마스크 착용 의무화 행정명령.. 강화되는 방역대책은?인터뷰 풀버전 ☞ https://www.youtube.com/watch?v=w6zwdfzdG5I&t=4s▷ 0817 월 [특별 대담 '2020의 화두' : 기후위기] 황인철 기후위기비상행동 정책언론팀장- 기후 변화의 심각성과 직면한 과제는?인터뷰 풀버전 ☞ https://www.youtube.com/watch?v=K4eauYmJE8w&t=663s#kbs1라디오 #주진우라이브 #주진우라이브스페셜 #주진우 #김기화 #전광훈 #이용필 #코로나19 #이재명 #황인철 #기후위기"
"4hSvHtpfzRk","짧은 시간이었지만 감사했습니다. | 연고티비","2020-08-22T04:15:00Z","UCelPbnoAuzgRDFJAsJ4Du7A","연고티비","27","20.22.08","[none]","410415","11613","245","2560","https://i.ytimg.com/vi/4hSvHtpfzRk/default.jpg","False","False","▶ 연고티비 구독하기 http://bit.ly/yonkotv짧은 기간이었지만 함께해서 즐거웠어요 제리!앞으로의 나날들을 연고티비가 응원하겠습니다☺️─────────────────────구독자분들의 좋아요와 댓글은 언제나 환영입니다♥✔️'연고티비 공부법'은?◼️ 각종 공부법, 슬럼프 극복과 동기부여 등 전반적인 학교 생활 팁,수시 꿀팁, 정시 꿀팁, 대학 기본 상식에 대한 정보로 크게 5장으로 구성.◼️ 정가 15,000원◼️ 전국 주요 서점에서 오프라인 구매 가능◼️ 온라인 주요 서점에서 구매 시 메모패드 증정! (선택 시 증정, 포인트 차감)-YES24: http://bit.ly/YKTV_YS24 -교보문고: http://bit.ly/YKTV_KBB-알라딘: http://bit.ly/YKTV_ALD-인터파크: http://bit.ly/YKTV_INT수험생을 위한 입시덕후에 놀러오세요!▶ 입시덕후 구독하기 http://bit.ly/입시덕후연고티비는?▶ 연세대, 고려대 학생들이 만드는 가치있는 에듀테인먼트 콘텐츠 채널입니다! 중학생, 고등학생, 수험생들을 위해 교육·입시와 관련된 영상은 물론이고, 여러 가지 재미있는 대학생활을 담은 영상을 업로드하고 있어요 :)연고티비 팀원▶ CP : 이즈 ▶ PD : 챔, 부기, 쩡, 도리▶ 크리에이터 : 다부, 하나, 후니, 두니, 탁이, 제리, 테디인스타그램 (Instagram): 연고티비의 일상과 비하인드를 보실 수 있어요!▶ @yonkotv▶ https://www.instagram.com/yonkotv/광고/협업 문의는?▶ contact+yonkotv@youniv.video▶ 개인적인 공부, 진로 질문은 해당 메일로는 답변드리지 않습니다!─ⓒ YOUNIV. Corp ALL RIGHTS RESERVED─모든 영상의 저작권은 ㈜유니브에 있으며, 무단 전재 및 재배포를 엄격히 금지합니다."
